date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:08:41	787058/787058	---MCZ	200	added ('OK')	text/html	etag:W/%22eb7cdcb4a95a4c9e897a61250ab12c6e%22	https://www.zoe-vn.com/collections/all	C:/Users/pc/Desktop/chim/www.zoe-vn.com/collections/all.html	(from )
15:08:42	310/310	---MCZ	200	added ('OK')	text/plain	date:Thu,%2023%20Nov%202023%2008:08:44%20GMT	https://www.zoe-vn.com/robots.txt		(from )
15:08:42	555/555	---M--	200	added ('OK')	image/png	etag:%222f5885580898d03f617db8e924e6394f%22	http://theme.hstatic.net/1000271846/1001087843/14/favicon.png?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/favicon1147.png	(from https://www.zoe-vn.com/collections/all)
15:08:44	43001/43001	---MCZ	200	added ('OK')	application/javascript	etag:W/%22c5330ace965663fd373a9fed75a0b6cf%22	http://theme.hstatic.net/1000271846/1001087843/14/scripts.js?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/scripts1147.js	(from https://www.zoe-vn.com/collections/all)
15:08:44	128700/128700	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d27bd59971e481f0096e81042ddb565f%22	http://theme.hstatic.net/1000271846/1001087843/14/plugins.js?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/plugins1147.js	(from https://www.zoe-vn.com/collections/all)
15:08:59	111267/111267	---M--	200	added ('OK')	image/jpeg	etag:%22e6e8d815fb930291515d6cf47f42f59a%22	http://theme.hstatic.net/1000271846/1001087843/14/home_slider_image_1.jpg?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/home_slider_image_11147.jpg	(from https://www.zoe-vn.com/collections/all)
15:09:01	177186/177186	---MCZ	200	added ('OK')	text/css	etag:W/%22edf0ff3c8112bd9395fd190199cec8a2%22	http://theme.hstatic.net/1000271846/1001087843/14/custom-styles.scss.css?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/custom-styles.scss1147.css	(from https://www.zoe-vn.com/collections/all)
15:09:03	121027/121027	---M--	200	added ('OK')	image/jpeg	etag:%22d44ac603bc18dff45f81d55cf7cb8333%22	http://theme.hstatic.net/1000271846/1001087843/14/home_slider_image_2.jpg?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/home_slider_image_21147.jpg	(from https://www.zoe-vn.com/collections/all)
15:09:06	165505/165505	---M--	200	added ('OK')	image/jpeg	etag:%223ae5d97a2105c75bdf80b69c3b353314%22	http://theme.hstatic.net/1000271846/1001087843/14/htb_img_2.jpg?v=108	C:/Users/pc/Desktop/chim/theme.hstatic.net/1000271846/1001087843/14/htb_img_21147.jpg	(from https://www.zoe-vn.com/collections/all)
15:09:09	32208/32208	---MCZ	200	added ('OK')	application/javascript	etag:W/%221d9b5423e309cd0%22	https://stats.hstatic.net/beacon.min.js	C:/Users/pc/Desktop/chim/stats.hstatic.net/beacon.min.js	(from https://www.zoe-vn.com/collections/all)
